Kanji	Hanzi	Syllabe	Label	DansDict	Fichier
観	观	mi	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3485.T1.jp.snt
確	确	tashi	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2213.T1.jp.snt
美	美	o	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2709.T2.jp.snt
味	味	i	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2709.T2.jp.snt
二	二	ni	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3963.T1.jp.snt
十	十	juu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3963.T1.jp.snt
一	一	i	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1153.T1.jp.snt
階	阶	kai	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1153.T1.jp.snt
自	自	ji	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3018.T2.jp.snt
分	分	bun	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3018.T2.jp.snt
好	好	su	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3018.T2.jp.snt
選	选	e	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3018.T2.jp.snt
入	入	i	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2736.T1.jp.snt
二	二	ni	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3712.T1.jp.snt
代	代	dai	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3712.T1.jp.snt
目	目	me	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3712.T1.jp.snt
二	二	ni	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3712.T1.jp.snt
代	代	dai	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3712.T1.jp.snt
目	目	me	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3712.T1.jp.snt
何	何	nani	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3712.T1.jp.snt
二	二	ni	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3712.T1.jp.snt
代	代	dai	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3712.T1.jp.snt
目	目	me	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3712.T1.jp.snt
今	今	ima	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3712.T1.jp.snt
作	作	tsuku	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2998.T2.jp.snt
作	作	tsuku	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2998.T2.jp.snt
待	待	ma	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3287.T2.jp.snt
名	名	na	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2396.T1.jp.snt
前	前	mae	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2396.T1.jp.snt
仕	仕	shi	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1512.T1.jp.snt
事	事	go	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1512.T1.jp.snt
前	前	mae	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1512.T1.jp.snt
営	营	ei	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1512.T1.jp.snt
業	业	gyou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1512.T1.jp.snt
外	外	soto	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1512.T1.jp.snt
