Kanji	Hanzi	Syllabe	ModeSyl	Mode2Syl	LieuSyl	Label	DansDict	FichierJap	Pinyin	ModePin	Mode2Pin	LieuPin	FichierCh
大	大	dai	occlusive	sonore	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0123.T2.jp.snt	dà	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0742.T2.ch.snt
体	体	tai	occlusive	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0123.T2.jp.snt	tǐ	occlusive	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0234.T2.ch.snt
毎	每	mai	nasale	_	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0123.T2.jp.snt	měi	nasale	_	bilabiale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0170.T2.ch.snt
日	日	nichi	nasale	_	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0123.T2.jp.snt	rì	fricative	sonore	retroflexe	../Corpora/MSLT_Datas/MSLT_Test_CH_1205.T2.ch.snt
車	车	kuruma	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0123.T2.jp.snt	chē	affriquee	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0325.T2.ch.snt
中	中	naka	nasale	_	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0123.T2.jp.snt	zhōng	affriquee	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0570.T2.ch.snt
弾	弹	hi	fricative	_	palatale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0123.T2.jp.snt	dàn	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0548.T2.ch.snt
野	野	ya	spirant	_	palatal	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3580.T2.jp.snt	yě	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_0320.T2.ch.snt
球	球	kyuu	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3580.T2.jp.snt	qiú	affriquee	aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0390.T2.ch.snt
場	场	ba	occlusive	sonore	bilabiale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3580.T2.jp.snt	chǎng	affriquee	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0803.T2.ch.snt
行	行	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3580.T2.jp.snt	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0004.T2.ch.snt
